股票代码,股票名称,行业,模型,当前标签,当前分数,风险调整后分数,PE,PB,股息率,ROE,FCF收益率,市值,资金信号,资金来源,金融模型状态,周期归一化状态,normalized PE,normalized FCF收益率,周期字段缺口,周期下一步必查,便宜原因,风险信号,数据缺口
601677.SH,明泰铝业,铝,周期公用事业,仅适合跟踪,17.0,17.0,9.53,1.07,1.85%,12.84%,3.26%,211.90亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核铝价、电力成本、氧化铝成本和产能周期。；金属周期需复核商品价格、库存、成本曲线、产能约束和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600761.SH,安徽合力,工程机械,周期公用事业,仅适合跟踪,17.0,17.0,12.44,1.36,3.53%,13.89%,5.62%,151.24亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核订单质量、回款、应收账款和地产/基建周期。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600886.SH,国投电力,水力发电,周期公用事业,仅适合跟踪,17.0,17.0,14.85,1.60,3.31%,9.28%,9.18%,1103.82亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
001286.SZ,陕西能源,火力发电,周期公用事业,仅适合跟踪,17.0,17.0,14.23,1.65,2.97%,11.68%,4.99%,454.50亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核煤电价差、容量电价、利用小时和政策定价。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
601298.SH,青岛港,港口,周期公用事业,仅适合跟踪,16.5,16.5,10.94,1.22,3.93%,12.29%,5.38%,573.81亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核吞吐量、费率政策、腹地经济和资本开支。；航运/港口需复核运价周期、吞吐量、资本开支和全球贸易波动。,周期/公用事业 normalized PE 与周期变量未接入
600803.SH,新奥股份,供气供热,周期公用事业,仅适合跟踪,16.0,16.0,12.50,2.25,6.86%,28.94%,11.06%,544.86亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
600874.SH,创业环保,环境保护,周期公用事业,仅适合跟踪,16.0,16.0,10.48,0.88,2.88%,9.36%,25.62%,92.65亿元,未接入/无明显信号,无,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；低PB；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
002911.SZ,佛燃能源,供气供热,周期公用事业,仅适合跟踪,15.5,15.5,13.18,3.22,4.96%,13.15%,9.90%,136.05亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,normalized PE 数据不足,数据不足,数据不足,normalized PE proxy:5年中有效年份少于3年,下一步重点复核：5 年利润中枢是否代表正常景气、当前利润是否处于周期高点、资本开支是否压低自由现金流、商品价格/产能/利用率是否支持盈利持续。,低PE；高股息；周期/类公用事业需用归一化利润复核,周期/类公用事业行业，当前PE可能不可直接外推；需行业模型复核：需复核政策定价、资本开支、现金流稳定性和分红约束。；周期/类公用事业需复核商品周期、政策定价、资本开支和 normalized PE。,周期/公用事业 normalized PE 与周期变量未接入
000726.SZ,鲁泰A,纺织,普通企业,排雷待复核,27.0,27.0,8.95,0.49,3.39%,6.15%,10.85%,48.23亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；FCF收益率较高,ROE偏低或缺失；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
000921.SZ,海信家电,家用电器,普通企业,排雷待复核,26.0,26.0,12.74,2.13,4.32%,17.56%,9.34%,394.27亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,资产负债率偏高,未发现基础字段缺失；仍需单股深研补证据链。
600887.SH,伊利股份,乳制品,普通企业,排雷待复核,21.0,21.0,13.30,2.70,5.43%,19.79%,7.04%,1607.27亿元,弱信号,回购/产业资本弱信号；机构调研弱信号,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,应收账款增速显著高于收入；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
000538.SZ,云南白药,中成药,普通企业,排雷待复核,21.0,21.0,17.02,2.13,5.19%,10.15%,4.60%,894.81亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,高股息；FCF收益率较高,经营现金流连续多年弱于净利润；存在价值陷阱信号；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600517.SH,国网英大,多元金融,普通企业,排雷待复核,21.0,21.0,12.39,1.20,1.85%,8.03%,5.62%,287.07亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；FCF收益率较高,经营现金流连续多年弱于净利润；存在价值陷阱信号；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
600007.SH,中国国贸,园区开发,普通企业,排雷待复核,20.5,20.5,16.39,1.95,5.65%,12.73%,7.65%,196.02亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,高股息；FCF收益率较高,分红支付率过高；分红支付率超过80%；存在价值陷阱信号；分红支付率过高,未发现基础字段缺失；仍需单股深研补证据链。
002555.SZ,三七互娱,互联网,普通企业,排雷待复核,20.0,20.0,12.48,2.78,5.63%,24.82%,7.91%,402.41亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,营收5年CAGR为负；营收5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
600066.SH,宇通客车,汽车整车,普通企业,排雷待复核,19.0,19.0,11.46,3.86,8.85%,18.06%,3.94%,625.66亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息,高股息但FCF覆盖不足；FCF对分红覆盖不足；存在价值陷阱信号；FCF对分红覆盖不足,未发现基础字段缺失；仍需单股深研补证据链。
000951.SZ,中国重汽,汽车整车,普通企业,排雷待复核,19.0,19.0,14.60,1.59,3.19%,7.77%,1.13%,264.19亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB,应收账款增速显著高于收入；ROE偏低或缺失；存在价值陷阱信号；资产负债率偏高；FCF对分红覆盖不足；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
002043.SZ,兔宝宝,其他建材,普通企业,排雷待复核,18.5,18.5,13.61,2.96,4.76%,24.24%,7.46%,101.98亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,营收5年CAGR为负；扣非净利润5年CAGR为负；营收5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
002091.SZ,江苏国泰,商贸代理,普通企业,排雷待复核,18.0,18.0,9.91,0.78,6.11%,10.55%,10.23%,125.17亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,扣非净利润5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
601811.SH,新华文轩,出版业,普通企业,排雷待复核,18.0,18.0,9.53,0.96,5.05%,11.61%,8.91%,149.17亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
600741.SH,华域汽车,汽车配件,普通企业,排雷待复核,18.0,18.0,7.48,0.79,4.70%,12.42%,8.89%,536.91亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；应收账款增速显著高于收入；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
000651.SZ,格力电器,家用电器,普通企业,排雷待复核,18.0,18.0,7.27,1.40,7.90%,23.70%,21.06%,2120.69亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；营收5年CAGR为负；营收5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
601928.SH,凤凰传媒,出版业,普通企业,排雷待复核,18.0,18.0,13.86,1.16,6.44%,12.40%,5.64%,237.18亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,营收5年CAGR为负；营收5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
601766.SH,中国中车,运输设备,普通企业,排雷待复核,18.0,18.0,12.24,0.94,5.56%,7.48%,8.96%,1653.05亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,应收账款增速显著高于收入；存货增速显著高于收入；ROE偏低或缺失；存在价值陷阱信号；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
600987.SH,航民股份,纺织,普通企业,排雷待复核,18.0,18.0,9.09,0.98,5.33%,11.67%,11.47%,67.07亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；存货增速显著高于收入；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
002035.SZ,华帝股份,家用电器,普通企业,排雷待复核,18.0,18.0,14.39,1.11,7.81%,8.94%,6.92%,42.55亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,分红支付率过高；分红支付率超过80%；存在价值陷阱信号；分红支付率过高,未发现基础字段缺失；仍需单股深研补证据链。
002004.SZ,华邦健康,农药化肥,普通企业,排雷待复核,18.0,18.0,13.50,0.89,4.28%,3.65%,15.80%,92.26亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,营收5年CAGR为负；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603365.SH,水星家纺,纺织,普通企业,排雷待复核,18.0,18.0,11.46,1.49,5.89%,12.94%,8.30%,48.38亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,扣非净利润5年CAGR为负；扣非净利润5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
600351.SH,亚宝药业,中成药,普通企业,排雷待复核,18.0,18.0,13.50,1.51,5.62%,7.23%,12.18%,43.11亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,营收5年CAGR为负；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
601886.SH,江河集团,装修装饰,普通企业,排雷待复核,18.0,18.0,17.00,1.42,5.39%,4.28%,10.91%,105.14亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,资产负债率偏高；ROE偏低或缺失；资产负债率偏高；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
003012.SZ,东鹏控股,陶瓷,普通企业,排雷待复核,18.0,18.0,16.32,0.72,5.17%,4.67%,9.55%,54.26亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,分红支付率过高；营收5年CAGR为负；分红支付率超过80%；ROE偏低或缺失；营收5年CAGR为负；存在价值陷阱信号；分红支付率过高；ROE偏低，需验证盈利质量和资本回报可持续性,未发现基础字段缺失；仍需单股深研补证据链。
603611.SH,诺力股份,专用机械,普通企业,排雷待复核,18.0,18.0,11.83,1.39,4.76%,16.46%,12.92%,45.08亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；应收账款增速显著高于收入；存在价值陷阱信号；资产负债率偏高,未发现基础字段缺失；仍需单股深研补证据链。
300360.SZ,炬华科技,电器仪表,普通企业,排雷待复核,18.0,18.0,13.50,1.55,4.69%,15.79%,6.65%,65.76亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,经营现金流连续多年弱于净利润；存在价值陷阱信号；经营现金流连续弱于净利润,未发现基础字段缺失；仍需单股深研补证据链。
603600.SH,永艺股份,家居用品,普通企业,排雷待复核,18.0,18.0,13.18,1.39,4.67%,14.54%,8.30%,32.58亿元,未接入/无明显信号,无,非金融企业不适用,非周期模型不适用,,,,,低PE；低PB；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
600096.SH,云天化,农药化肥,普通企业,排雷待复核,18.0,18.0,10.76,2.18,4.48%,32.55%,11.95%,569.14亿元,弱信号,策略ETF弱信号,非金融企业不适用,非周期模型不适用,,,,,低PE；高股息；FCF收益率较高,ROE下滑；ROE连续下滑；营收5年CAGR为负；营收5年CAGR为负；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
600480.SH,凌云股份,汽车配件,普通企业,排雷待复核,18.0,18.0,15.65,1.47,4.04%,8.19%,7.74%,121.00亿元,宽基ETF被动覆盖,宽基ETF被动覆盖,非金融企业不适用,非周期模型不适用,,,,,低PB；高股息；FCF收益率较高,应收账款增速显著高于收入；存在价值陷阱信号,未发现基础字段缺失；仍需单股深研补证据链。
